Município,UF,Área destinada à colheita de Arábica,Área destinada à colheita de Canephora,Área colhida de Arábica,Área colhida de Canephora,Toneladas produzidas de Arábica,Toneladas produzidas de Canephora,Rendimento médio da produção (Quilogramas por Hectare) Arábica,Rendimento médio da produção (Quilogramas por Hectare) Canephora,Valor da produção (Mil Reais) Arábica,Valor da produção (Mil Reais) Canephora
Licínio de Almeida,BA,40,0,40,0,56,0,1400,0,1120,0
Luís Eduardo Magalhães,BA,917,0,917,0,2190,0,2388,0,39420,0
Macarani,BA,85,0,85,0,46,0,541,0,635,0
Macaúbas,BA,2,0,2,0,1,0,500,0,11,0
Maracás,BA,361,0,361,0,443,0,1227,0,8417,0
Maraú,BA,0,134,0,134,0,243,0,1813,0,3903
Mascote,BA,0,260,0,260,0,468,0,1800,0,7488
Medeiros Neto,BA,0,89,0,89,0,150,0,1685,0,2269
Miguel Calmon,BA,31,0,31,0,20,0,645,0,306,0
Morro do Chapéu,BA,448,0,448,0,297,0,663,0,3528,0
Mortugaba,BA,17,0,17,0,9,0,529,0,108,0
Mucugê,BA,1454,0,1454,0,3446,0,2370,0,66952,0
Mucuri,BA,0,601,0,601,0,1614,0,2686,0,29859
Mulungu do Morro,BA,1010,0,1010,0,484,0,479,0,5950,0
Mundo Novo,BA,43,0,43,0,41,0,953,0,697,0
Mutuípe,BA,0,21,0,21,0,17,0,810,0,258
Nova Canaã,BA,728,0,728,0,455,0,625,0,5468,0
Nova Ibiá,BA,18,0,18,0,14,0,778,0,166,0
Nova Itarana,BA,291,0,291,0,189,0,649,0,2648,0
Nova Viçosa,BA,0,415,0,415,0,908,0,2188,0,14200
Palmeiras,BA,7,0,7,0,2,0,286,0,40,0
Pau Brasil,BA,0,50,0,50,0,105,0,2100,0,1680
Piatã,BA,1167,0,1167,0,832,0,713,0,9423,0
Planaltino,BA,2,0,2,0,2,0,1000,0,29,0
Planalto,BA,2178,0,2178,0,1694,0,778,0,32186,0
Poções,BA,765,0,765,0,527,0,689,0,9486,0
Porto Seguro,BA,0,4963,0,4963,0,14958,0,3014,0,263261
Prado,BA,0,6100,0,6100,0,22692,0,3720,0,407710
Presidente Tancredo Neves,BA,0,21,0,21,0,22,0,1048,0,326
Ribeirão do Largo,BA,1364,0,1364,0,1124,0,824,0,20232,0
Rio de Contas,BA,197,0,197,0,151,0,766,0,1835,0
Ruy Barbosa,BA,10,0,10,0,4,0,400,0,45,0
Santa Cruz Cabrália,BA,0,1530,0,1530,0,4719,0,3084,0,87302
Santa Inês,BA,10,0,10,0,19,0,1900,0,270,0
Santa Luzia,BA,0,942,0,942,0,927,0,984,0,14832
São Desidério,BA,1813,0,1813,0,4293,0,2368,0,81567,0
São José da Vitória,BA,0,10,0,10,0,17,0,1700,0,272
Seabra,BA,1442,0,1442,0,424,0,294,0,5212,0
Senhor do Bonfim,BA,2,0,2,0,2,0,1000,0,27,0
Souto Soares,BA,150,0,150,0,71,0,473,0,1464,0
Tanhaçu,BA,103,0,103,0,165,0,1602,0,3630,0
Taperoá,BA,0,84,0,84,0,83,0,988,0,1347
Tapiramutá,BA,258,0,258,0,204,0,791,0,2395,0
Teixeira de Freitas,BA,0,2902,0,2902,0,7667,0,2642,0,144140
Teolândia,BA,0,6,0,6,0,7,0,1167,0,108
Tremedal,BA,10,0,10,0,8,0,800,0,90,0
Ubaíra,BA,19,0,19,0,25,0,1316,0,351,0
Ubatã,BA,0,5,0,5,0,4,0,800,0,63
Una,BA,0,446,0,446,0,1338,0,3000,0,24084
Urandi,BA,5,0,5,0,3,0,600,0,34,0
Uruçuca,BA,0,38,0,38,0,111,0,2921,0,1855
Utinga,BA,250,0,250,0,140,0,560,0,2380,0
Valença,BA,0,127,0,127,0,177,0,1394,0,2774
Vereda,BA,0,295,0,295,0,681,0,2308,0,10626
Vitória da Conquista,BA,5491,0,5491,0,3344,0,609,0,63536,0
Wagner,BA,35,0,35,0,28,0,800,0,329,0
Wenceslau Guimarães,BA,0,112,0,112,0,184,0,1643,0,2764
Abadia dos Dourados,MG,224,0,224,0,585,0,2612,0,12314,0
Abaeté,MG,60,0,60,0,194,0,3233,0,4365,0
Abre Campo,MG,4100,0,4100,0,5412,0,1320,0,103781,0
Acaiaca,MG,4,0,4,0,5,0,1250,0,101,0
Açucena,MG,3,0,3,0,5,0,1667,0,86,0
Água Boa,MG,2310,280,2310,280,3942,504,1706,1800,80141,7308
Aguanil,MG,1917,0,1917,0,3882,0,2025,0,76103,0
Águas Vermelhas,MG,798,0,798,0,2394,0,3000,0,52340,0
Aimorés,MG,680,970,680,970,643,2646,946,2728,13021,46363
Aiuruoca,MG,10,0,10,0,18,0,1800,0,360,0
Albertina,MG,1500,0,1500,0,2340,0,1560,0,51714,0
Alfenas,MG,12785,0,12785,0,20906,0,1635,0,465331,0
Almenara,MG,50,20,50,20,39,16,780,800,788,248
Alpinópolis,MG,6600,0,6600,0,13728,0,2080,0,272913,0
Alterosa,MG,5335,0,5335,0,5922,0,1110,0,120940,0
Alto Caparaó,MG,2550,0,2550,0,2907,0,1140,0,59594,0
Alvarenga,MG,8,8,8,8,10,14,1250,1750,202,247
Amparo do Serra,MG,360,0,360,0,605,0,1681,0,12211,0
Andradas,MG,6900,0,6900,0,8694,0,1260,0,183717,0
Andrelândia,MG,310,0,310,0,465,0,1500,0,8823,0
Angelândia,MG,3720,0,3720,0,6960,0,1871,0,142193,0
Antônio Dias,MG,44,0,44,0,66,0,1500,0,1340,0
Antônio Prado de Minas,MG,30,7,30,7,58,13,1933,1857,1044,208
Araguari,MG,13175,0,13175,0,19763,0,1500,0,444188,0
Araponga,MG,4400,0,4400,0,6600,0,1500,0,142527,0
Arapuá,MG,770,0,770,0,832,0,1081,0,16640,0
Araxá,MG,3403,0,3403,0,4806,0,1412,0,96777,0
Arceburgo,MG,1740,0,1740,0,3060,0,1759,0,66662,0
Areado,MG,2850,0,2850,0,3312,0,1162,0,67043,0
Aricanduva,MG,815,0,815,0,1076,0,1320,0,21875,0
Astolfo Dutra,MG,8,0,8,0,7,0,875,0,148,0
Ataléia,MG,85,10,85,10,64,36,753,3600,1261,616
Baependi,MG,905,0,905,0,1303,0,1440,0,26268,0
Bambuí,MG,2920,0,2920,0,5256,0,1800,0,96592,0
Bandeira,MG,40,0,40,0,46,0,1150,0,851,0
Bandeira do Sul,MG,370,0,370,0,555,0,1500,0,11667,0
Berilo,MG,176,0,176,0,296,0,1682,0,6512,0
Berizal,MG,310,0,310,0,1101,0,3552,0,23581,0
Biquinhas,MG,256,0,256,0,538,0,2102,0,12105,0
Boa Esperança,MG,8630,0,8630,0,9354,0,1084,0,175094,0
Bocaiúva,MG,182,0,182,0,382,0,2099,0,7564,0
Bom Jesus da Penha,MG,2500,0,2500,0,3900,0,1560,0,77532,0
Bom Jesus do Amparo,MG,4,0,4,0,3,0,750,0,61,0
Bom Jesus do Galho,MG,1000,0,1000,0,900,0,900,0,19350,0
Bom Repouso,MG,14,0,14,0,17,0,1214,0,359,0
Bom Sucesso,MG,3490,0,3490,0,5863,0,1680,0,114197,0
Bonfinópolis de Minas,MG,760,0,760,0,1596,0,2100,0,37107,0
Borda da Mata,MG,400,0,400,0,600,0,1500,0,12962,0
Botelhos,MG,6875,0,6875,0,7425,0,1080,0,156086,0
Botumirim,MG,40,0,40,0,29,0,725,0,570,0
Brazópolis,MG,411,0,411,0,617,0,1501,0,12189,0
Bueno Brandão,MG,2040,0,2040,0,3672,0,1800,0,83981,0
Buritis,MG,929,0,929,0,2508,0,2700,0,57684,0
Buritizeiro,MG,1170,0,1170,0,3159,0,2700,0,64444,0
Cabo Verde,MG,9100,0,9100,0,12012,0,1320,0,257483,0
Cachoeira de Minas,MG,1280,0,1280,0,2227,0,1740,0,43845,0
Caeté,MG,10,0,10,0,18,0,1800,0,385,0
Caiana,MG,3500,0,3500,0,3990,0,1140,0,80259,0
Cajuri,MG,850,0,850,0,1122,0,1320,0,24437,0
Caldas,MG,1300,0,1300,0,2184,0,1680,0,46062,0
Camacho,MG,2710,0,2710,0,4065,0,1500,0,82596,0
Cambuí,MG,8,0,8,0,11,0,1375,0,225,0
Cambuquira,MG,3000,0,3000,0,5220,0,1740,0,117094,0
Campanha,MG,3336,0,3336,0,5234,0,1569,0,115712,0
Campestre,MG,12480,0,12480,0,16474,0,1320,0,346508,0
Campo Belo,MG,2500,0,2500,0,3000,0,1200,0,60365,0
Campo do Meio,MG,4418,0,4418,0,6063,0,1372,0,127890,0
Campos Altos,MG,10070,0,10070,0,15105,0,1500,0,312642,0
Campos Gerais,MG,19000,0,19000,0,30615,0,1611,0,648081,0
Canaã,MG,960,0,960,0,1267,0,1320,0,26780,0
Cana Verde,MG,620,0,620,0,744,0,1200,0,15103,0
Candeias,MG,6070,0,6070,0,6920,0,1140,0,140095,0
Caparaó,MG,5580,0,5580,0,9374,0,1680,0,206228,0
Capela Nova,MG,405,0,405,0,851,0,2101,0,17943,0
Capelinha,MG,7033,0,7033,0,11394,0,1620,0,231954,0
Capetinga,MG,5890,0,5890,0,8468,0,1438,0,174105,0
Capitão Enéas,MG,1,0,1,0,3,0,3000,0,57,0
Capitólio,MG,1800,0,1800,0,2376,0,1320,0,47995,0
Caputira,MG,4620,0,4620,0,6376,0,1380,0,129114,0
Caraí,MG,500,0,500,0,600,0,1200,0,11565,0
Caranaíba,MG,40,0,40,0,60,0,1500,0,1284,0
Carandaí,MG,40,0,40,0,72,0,1800,0,1541,0
Carangola,MG,4225,0,4225,0,6084,0,1440,0,117360,0
Caratinga,MG,11930,0,11930,0,19327,0,1620,0,425194,0
Carbonita,MG,30,0,30,0,18,0,600,0,355,0
Careaçu,MG,1180,0,1180,0,1841,0,1560,0,36815,0
Carmo da Cachoeira,MG,12000,0,12000,0,17280,0,1440,0,381860,0
Carmo da Mata,MG,900,0,900,0,1458,0,1620,0,31698,0
Carmo de Minas,MG,3350,0,3350,0,5226,0,1560,0,104520,0
Carmo do Paranaíba,MG,11540,0,11540,0,24271,0,2103,0,485420,0
Carmo do Rio Claro,MG,11500,0,11500,0,20280,0,1763,0,447784,0
Carmópolis de Minas,MG,100,0,100,0,198,0,1980,0,4331,0
Carrancas,MG,28,0,28,0,46,0,1643,0,912,0
Carvalhópolis,MG,1900,0,1900,0,3078,0,1620,0,68293,0
Casa Grande,MG,67,0,67,0,169,0,2522,0,3256,0
Cascalho Rico,MG,490,0,490,0,882,0,1800,0,19427,0
