Município,UF,Área destinada à colheita de Arábica,Área destinada à colheita de Canephora,Área colhida de Arábica,Área colhida de Canephora,Toneladas produzidas de Arábica,Toneladas produzidas de Canephora,Rendimento médio da produção (Quilogramas por Hectare) Arábica,Rendimento médio da produção (Quilogramas por Hectare) Canephora,Valor da produção (Mil Reais) Arábica,Valor da produção (Mil Reais) Canephora
Jacuí,MG,3250,0,3250,0,4485,0,1380,0,96648,0
Jacutinga,MG,3195,0,3195,0,4217,0,1320,0,94113,0
Jaíba,MG,0,10,0,10,0,9,0,900,0,153
Jequeri,MG,3600,0,3600,0,6480,0,1800,0,130017,0
Jequitinhonha,MG,60,0,60,0,144,0,2400,0,2952,0
Jesuânia,MG,1630,0,1630,0,2445,0,1500,0,52946,0
Joaíma,MG,0,30,0,30,0,45,0,1500,0,788
João Pinheiro,MG,3000,0,3000,0,9000,0,3000,0,197386,0
José Gonçalves de Minas,MG,190,0,190,0,285,0,1500,0,6270,0
José Raydan,MG,0,95,0,95,0,245,0,2579,0,3553
Josenópolis,MG,4,0,4,0,2,0,500,0,37,0
Nova União,MG,5,0,5,0,3,0,600,0,63,0
Juiz de Fora,MG,6,0,6,0,7,0,1167,0,154,0
Juruaia,MG,4800,0,4800,0,8064,0,1680,0,174176,0
Ladainha,MG,100,100,100,100,112,186,1120,1860,2159,3116
Lagamar,MG,410,0,410,0,861,0,2100,0,17220,0
Lagoa Dourada,MG,262,0,262,0,393,0,1500,0,7996,0
Lagoa Formosa,MG,1050,0,1050,0,1905,0,1814,0,38100,0
Lagoa Grande,MG,140,0,140,0,336,0,2400,0,7461,0
Lajinha,MG,8485,0,8485,0,13279,0,1565,0,265580,0
Lambari,MG,4800,0,4800,0,7488,0,1560,0,167351,0
Lamim,MG,18,0,18,0,32,0,1778,0,656,0
Lassance,MG,100,0,100,0,210,0,2100,0,4396,0
Lavras,MG,5020,0,5020,0,7831,0,1560,0,161279,0
Leme do Prado,MG,68,0,68,0,194,0,2853,0,3942,0
Leopoldina,MG,70,3,70,3,105,6,1500,2000,2100,99
Luisburgo,MG,6150,0,6150,0,7380,0,1200,0,147600,0
Luminárias,MG,2175,0,2175,0,3002,0,1380,0,64633,0
Luz,MG,130,0,130,0,226,0,1738,0,5198,0
Machado,MG,15506,0,15506,0,20697,0,1335,0,459390,0
Malacacheta,MG,1000,0,1000,0,1500,0,1500,0,28913,0
Manhuaçu,MG,22600,0,22600,0,33900,0,1500,0,678000,0
Manhumirim,MG,5300,0,5300,0,8268,0,1560,0,165360,0
Mantena,MG,500,600,500,600,600,576,1200,960,10997,9249
Mar de Espanha,MG,80,0,80,0,101,0,1263,0,2172,0
Maria da Fé,MG,90,0,90,0,133,0,1478,0,2634,0
Mariana,MG,20,0,20,0,31,0,1550,0,620,0
Marliéria,MG,2,0,2,0,3,0,1500,0,64,0
Martins Soares,MG,2950,0,2950,0,3540,0,1200,0,70800,0
Mata Verde,MG,544,29,544,29,816,81,1500,2793,15504,1256
Mateus Leme,MG,22,0,22,0,26,0,1182,0,526,0
Matias Cardoso,MG,0,52,0,52,0,94,0,1808,0,1598
Matipó,MG,4290,0,4290,0,5148,0,1200,0,102960,0
Matutina,MG,247,0,247,0,341,0,1381,0,6820,0
Medeiros,MG,3280,0,3280,0,6101,0,1860,0,112624,0
Medina,MG,2,0,2,0,6,0,3000,0,124,0
Mercês,MG,20,0,20,0,18,0,900,0,367,0
Minas Novas,MG,440,0,440,0,713,0,1620,0,14488,0
Minduri,MG,2,0,2,0,3,0,1500,0,60,0
Miradouro,MG,2765,0,2765,0,3152,0,1140,0,56736,0
Miraí,MG,320,0,320,0,384,0,1200,0,8157,0
Moeda,MG,2,0,2,0,3,0,1500,0,61,0
Monsenhor Paulo,MG,3690,0,3690,0,5867,0,1590,0,122703,0
Monte Alegre de Minas,MG,132,0,132,0,314,0,2379,0,6731,0
Monte Azul,MG,3,0,3,0,5,0,1667,0,108,0
Monte Belo,MG,5200,0,5200,0,7800,0,1500,0,168415,0
Monte Carmelo,MG,16200,0,16200,0,25272,0,1560,0,531167,0
Monte Formoso,MG,25,0,25,0,17,0,680,0,377,0
Monte Santo de Minas,MG,10650,0,10650,0,15975,0,1500,0,344560,0
Monte Sião,MG,2100,0,2100,0,3150,0,1500,0,70983,0
Montezuma,MG,40,0,40,0,36,0,900,0,752,0
Munhoz,MG,14,0,14,0,19,0,1357,0,389,0
Muriaé,MG,875,25,875,25,1024,60,1170,2400,18432,960
Mutum,MG,7020,315,7020,315,8143,693,1160,2200,165466,12526
Muzambinho,MG,8400,0,8400,0,10584,0,1260,0,228456,0
Natércia,MG,2520,0,2520,0,4536,0,1800,0,101329,0
Nazareno,MG,2120,0,2120,0,3434,0,1620,0,71148,0
Nepomuceno,MG,10420,0,10420,0,14380,0,1380,0,284724,0
Ninheira,MG,1903,0,1903,0,5366,0,2820,0,114838,0
Nova Belém,MG,4500,600,4500,600,4050,2160,900,3600,74232,32816
Nova Era,MG,12,0,12,0,18,0,1500,0,340,0
Nova Lima,MG,1,0,1,0,2,0,2000,0,39,0
Nova Módica,MG,0,10,0,10,0,12,0,1200,0,196
Nova Ponte,MG,610,0,610,0,1407,0,2307,0,31042,0
Nova Porteirinha,MG,3,0,3,0,7,0,2333,0,135,0
Nova Resende,MG,14500,0,14500,0,19140,0,1320,0,412028,0
Novo Cruzeiro,MG,814,0,814,0,1465,0,1800,0,28564,0
Novorizonte,MG,27,0,27,0,36,0,1333,0,738,0
Olímpio Noronha,MG,720,0,720,0,1080,0,1500,0,24085,0
Oliveira,MG,7035,0,7035,0,12832,0,1824,0,262991,0
Orizânia,MG,4150,0,4150,0,6225,0,1500,0,126461,0
Ouro Branco,MG,5,0,5,0,5,0,1000,0,102,0
Ouro Fino,MG,5820,0,5820,0,8730,0,1500,0,194238,0
Ouro Preto,MG,25,0,25,0,19,0,760,0,390,0
Ouro Verde de Minas,MG,20,48,20,48,50,202,2500,4208,964,3636
Padre Carvalho,MG,12,0,12,0,6,0,500,0,121,0
Padre Paraíso,MG,165,0,165,0,119,0,721,0,2294,0
Paiva,MG,2,0,2,0,3,0,1500,0,63,0
Palma,MG,0,112,0,112,0,269,0,2402,0,4439
Palmópolis,MG,2,0,2,0,3,0,1500,0,54,0
Paracatu,MG,1545,0,1545,0,4172,0,2700,0,92828,0
Paraguaçu,MG,9950,0,9950,0,13167,0,1323,0,272065,0
Paraisópolis,MG,75,0,75,0,113,0,1507,0,2311,0
Passabém,MG,30,0,30,0,45,0,1500,0,938,0
Passa Tempo,MG,80,0,80,0,120,0,1500,0,2700,0
Passos,MG,3370,0,3370,0,6587,0,1955,0,133439,0
Patis,MG,20,0,20,0,18,0,900,0,363,0
Patos de Minas,MG,9175,0,9175,0,15253,0,1662,0,305060,0
Patrocínio,MG,42830,0,42830,0,64225,0,1500,0,1387740,0
Paula Cândido,MG,1370,0,1370,0,1808,0,1320,0,39719,0
Peçanha,MG,166,0,166,0,313,0,1886,0,6293,0
Pedra Azul,MG,10,0,10,0,9,0,900,0,162,0
Pedra Bonita,MG,3750,0,3750,0,4500,0,1200,0,90000,0
Pedra do Anta,MG,240,0,240,0,331,0,1379,0,6276,0
Pedra Dourada,MG,1300,0,1300,0,1664,0,1280,0,33380,0
Pedralva,MG,2530,0,2530,0,3947,0,1560,0,82552,0
Pedrinópolis,MG,430,0,430,0,796,0,1851,0,16381,0
Perdizes,MG,5595,0,5595,0,6394,0,1143,0,132036,0
Perdões,MG,3340,0,3340,0,5611,0,1680,0,110789,0
Piedade de Caratinga,MG,3500,0,3500,0,5880,0,1680,0,130830,0
Pimenta,MG,2142,0,2142,0,3674,0,1715,0,66132,0
Piracema,MG,5,0,5,0,4,0,800,0,88,0
Piranga,MG,160,0,160,0,288,0,1800,0,6259,0
Piranguçu,MG,6,0,6,0,8,0,1333,0,156,0
Piranguinho,MG,473,0,473,0,795,0,1681,0,15711,0
Pirapetinga,MG,0,85,0,85,0,281,0,3306,0,4735
Pirapora,MG,890,0,890,0,2403,0,2700,0,50646,0
Piumhi,MG,12620,0,12620,0,17416,0,1380,0,321868,0
Poço Fundo,MG,9845,0,9845,0,13588,0,1380,0,300318,0
Poços de Caldas,MG,3700,0,3700,0,6438,0,1740,0,136479,0
Pocrane,MG,128,600,128,600,230,1620,1797,2700,4777,28998
Ponte Nova,MG,2,0,2,0,4,0,2000,0,81,0
Ponto dos Volantes,MG,60,0,60,0,30,0,500,0,660,0
Porto Firme,MG,475,0,475,0,656,0,1381,0,14239,0
Poté,MG,24,0,24,0,27,0,1125,0,520,0
Pouso Alegre,MG,33,0,33,0,59,0,1788,0,1304,0
Pouso Alto,MG,100,0,100,0,153,0,1530,0,3274,0
Pratápolis,MG,176,0,176,0,211,0,1199,0,4067,0
Pratinha,MG,4200,0,4200,0,7767,0,1849,0,156004,0
Presidente Bernardes,MG,345,0,345,0,383,0,1110,0,7236,0
Presidente Kubitschek,MG,19,0,19,0,14,0,737,0,296,0
Presidente Olegário,MG,5410,0,5410,0,10387,0,1920,0,207740,0
Alto Jequitibá,MG,5350,0,5350,0,5457,0,1020,0,109140,0
Quartel Geral,MG,175,0,175,0,525,0,3000,0,11813,0
Raposos,MG,3,0,3,0,4,0,1333,0,81,0
Raul Soares,MG,3430,50,3430,50,5145,165,1500,3300,113833,2970
Reduto,MG,3300,0,3300,0,3960,0,1200,0,79200,0
Resplendor,MG,0,220,0,220,0,528,0,2400,0,9515
Ribeirão Vermelho,MG,285,0,285,0,410,0,1439,0,8339,0
Rio Espera,MG,2,0,2,0,3,0,1500,0,61,0
Rio Paranaíba,MG,13535,0,13535,0,22739,0,1680,0,454780,0
Rio Pardo de Minas,MG,560,0,560,0,1716,0,3064,0,36723,0
Rio Vermelho,MG,13,0,13,0,12,0,923,0,243,0
Ritápolis,MG,225,0,225,0,405,0,1800,0,8289,0
Romaria,MG,5700,0,5700,0,11700,0,2053,0,253799,0
Rosário da Limeira,MG,790,0,790,0,995,0,1259,0,17910,0
Sabará,MG,6,0,6,0,5,0,833,0,100,0
Sabinópolis,MG,15,0,15,0,18,0,1200,0,359,0
Sacramento,MG,2350,0,2350,0,4082,0,1737,0,82150,0
Salinas,MG,4,10,4,10,3,12,750,1200,64,192
Santa Bárbara,MG,12,0,12,0,16,0,1333,0,304,0
Santa Bárbara do Leste,MG,3260,0,3260,0,4597,0,1410,0,101134,0
Santa Bárbara do Monte Verde,MG,10,0,10,0,13,0,1300,0,276,0
Santa Bárbara do Tugúrio,MG,15,0,15,0,15,0,1000,0,311,0
Santa Juliana,MG,98,0,98,0,294,0,3000,0,6186,0
Santa Margarida,MG,11000,0,11000,0,16500,0,1500,0,330000,0
Santa Maria do Suaçuí,MG,3,65,3,65,4,170,1333,2615,73,2965
Santana da Vargem,MG,4500,0,4500,0,6480,0,1440,0,134460,0
Santana do Garambéu,MG,7,0,7,0,8,0,1143,0,168,0
Santana do Jacaré,MG,475,0,475,0,570,0,1200,0,11278,0
Santana do Manhuaçu,MG,7300,0,7300,0,7884,0,1080,0,157680,0
Santana do Paraíso,MG,14,0,14,0,11,0,786,0,233,0
Santana dos Montes,MG,12,0,12,0,11,0,917,0,230,0
Santa Rita de Caldas,MG,200,0,200,0,360,0,1800,0,7610,0
Santa Rita de Minas,MG,2308,0,2308,0,2770,0,1200,0,60248,0
Santa Rita do Itueto,MG,2100,3550,2100,3550,2867,8520,1365,2400,60780,158472
Santa Rita do Sapucaí,MG,3800,0,3800,0,5700,0,1500,0,116651,0
Santa Rosa da Serra,MG,3500,0,3500,0,6720,0,1920,0,137740,0
Santo Antônio do Amparo,MG,8200,0,8200,0,13776,0,1680,0,278634,0
Santo Antônio do Grama,MG,23,0,23,0,36,0,1565,0,733,0
Santo Antônio do Jacinto,MG,0,2,0,2,0,2,0,1000,0,31
Santo Antônio do Monte,MG,25,0,25,0,32,0,1280,0,674,0
Santo Antônio do Retiro,MG,120,0,120,0,236,0,1967,0,5523,0
São Bento Abade,MG,1200,0,1200,0,1800,0,1500,0,40019,0
São Domingos das Dores,MG,2200,0,2200,0,3102,0,1410,0,66693,0
São Domingos do Prata,MG,100,0,100,0,105,0,1050,0,2364,0
São Félix de Minas,MG,0,14,0,14,0,15,0,1071,0,258
São Francisco de Paula,MG,2850,0,2850,0,4617,0,1620,0,85415,0
São Francisco do Glória,MG,1440,8,1440,8,1800,19,1250,2375,34380,277
São Geraldo,MG,370,0,370,0,488,0,1319,0,10163,0
São Geraldo do Baixio,MG,0,10,0,10,0,9,0,900,0,166
São Gonçalo do Abaeté,MG,420,0,420,0,630,0,1500,0,12600,0
São Gonçalo do Rio Abaixo,MG,11,0,11,0,13,0,1182,0,259,0
São Gonçalo do Sapucaí,MG,9330,0,9330,0,13995,0,1500,0,282864,0
São Gotardo,MG,2025,0,2025,0,3378,0,1668,0,68072,0
São João Batista do Glória,MG,279,0,279,0,432,0,1548,0,8846,0
São João da Mata,MG,700,0,700,0,924,0,1320,0,19581,0
São João del Rei,MG,474,0,474,0,854,0,1802,0,17507,0
São João do Manhuaçu,MG,6800,0,6800,0,8976,0,1320,0,179520,0
São João do Manteninha,MG,60,150,60,150,54,144,900,960,1022,2656
São João do Paraíso,MG,265,0,265,0,938,0,3540,0,20251,0
São João Evangelista,MG,2,0,2,0,2,0,1000,0,40,0
São José da Barra,MG,3780,0,3780,0,6462,0,1710,0,127804,0
São José do Alegre,MG,130,0,130,0,234,0,1800,0,4719,0
São José do Divino,MG,0,2,0,2,0,2,0,1000,0,33
São José do Goiabal,MG,2,0,2,0,2,0,1000,0,41,0
São José do Jacuri,MG,0,31,0,31,0,84,0,2710,0,1388
São José do Mantimento,MG,700,165,700,165,1008,171,1440,1036,20160,2593
São Lourenço,MG,50,0,50,0,69,0,1380,0,1449,0
São Miguel do Anta,MG,1540,0,1540,0,2402,0,1560,0,52263,0
São Pedro da União,MG,3800,0,3800,0,7752,0,2040,0,168575,0
São Pedro do Suaçuí,MG,0,23,0,23,0,48,0,2087,0,792
São Roque de Minas,MG,5400,0,5400,0,8532,0,1580,0,175333,0
São Sebastião da Bela Vista,MG,1350,0,1350,0,1944,0,1440,0,43832,0
São Sebastião da Vargem Alegre,MG,850,0,850,0,1088,0,1280,0,23153,0
São Sebastião do Anta,MG,2200,5,2200,5,3960,9,1800,1800,89100,162
São Sebastião do Maranhão,MG,105,13,105,13,145,23,1381,1769,2946,422
São Sebastião do Paraíso,MG,12000,0,12000,0,15120,0,1260,0,326970,0
São Tiago,MG,380,0,380,0,616,0,1621,0,12238,0
São Tomás de Aquino,MG,8310,0,8310,0,13462,0,1620,0,279067,0
São Tomé das Letras,MG,1380,0,1380,0,2898,0,2100,0,65078,0
Sardoá,MG,14,0,14,0,13,0,929,0,261,0
Setubinha,MG,840,0,840,0,857,0,1020,0,17414,0
Senador Firmino,MG,92,0,92,0,166,0,1804,0,3457,0
Senador José Bento,MG,400,0,400,0,360,0,900,0,7585,0
Senador Modestino Gonçalves,MG,75,0,75,0,203,0,2707,0,3830,0
Senhora de Oliveira,MG,120,0,120,0,216,0,1800,0,4711,0
Senhora dos Remédios,MG,30,0,30,0,54,0,1800,0,1130,0
Sericita,MG,5800,0,5800,0,8004,0,1380,0,155790,0
Serra do Salitre,MG,16000,0,16000,0,24270,0,1517,0,512344,0
Serrania,MG,3300,0,3300,0,4356,0,1320,0,92077,0
Serranópolis de Minas,MG,20,0,20,0,48,0,2400,0,929,0
Serro,MG,80,0,80,0,52,0,650,0,1115,0
Silveirânia,MG,2,0,2,0,2,0,1000,0,41,0
Silvianópolis,MG,1560,0,1560,0,2434,0,1560,0,54482,0
Simonésia,MG,11050,0,11050,0,13260,0,1200,0,265200,0
Soledade de Minas,MG,300,0,300,0,450,0,1500,0,9450,0
Taiobeiras,MG,630,0,630,0,1966,0,3121,0,43981,0
Taparuba,MG,12,120,12,120,9,333,750,2775,185,6068
Tapira,MG,450,0,450,0,891,0,1980,0,18293,0
Tapiraí,MG,1613,0,1613,0,3091,0,1916,0,71475,0
Tarumirim,MG,10,4,10,4,8,4,800,1000,158,71
Teixeiras,MG,1020,0,1020,0,1530,0,1500,0,33727,0
Teófilo Otoni,MG,20,0,20,0,21,0,1050,0,405,0
Tiros,MG,2060,0,2060,0,4017,0,1950,0,80340,0
Tocos do Moji,MG,354,0,354,0,531,0,1500,0,11716,0
Tombos,MG,1600,30,1600,30,2400,49,1500,1633,47184,715
Três Corações,MG,8700,0,8700,0,13572,0,1560,0,308763,0
Três Pontas,MG,17571,0,17571,0,24375,0,1387,0,511113,0
Tupaciguara,MG,191,0,191,0,539,0,2822,0,12397,0
Turmalina,MG,650,0,650,0,1203,0,1851,0,24441,0
Turvolândia,MG,1600,0,1600,0,2304,0,1440,0,48724,0
Ubá,MG,0,4,0,4,0,8,0,2000,0,141
Ubaporanga,MG,3545,0,3545,0,5105,0,1440,0,109758,0
Uberaba,MG,408,0,408,0,858,0,2103,0,17229,0
Uberlândia,MG,460,0,460,0,883,0,1920,0,18844,0
Unaí,MG,3770,0,3770,0,8596,0,2280,0,195559,0
Urucuia,MG,553,0,553,0,1062,0,1920,0,23895,0
Vargem Alegre,MG,64,0,64,0,102,0,1594,0,2295,0
Vargem Bonita,MG,2460,0,2460,0,5382,0,2188,0,99927,0
Vargem Grande do Rio Pardo,MG,85,0,85,0,153,0,1800,0,3275,0
Varginha,MG,7950,0,7950,0,10971,0,1380,0,230323,0
Varjão de Minas,MG,2337,0,2337,0,6281,0,2688,0,125620,0
Várzea da Palma,MG,700,0,700,0,2100,0,3000,0,44294,0
Veredinha,MG,140,0,140,0,150,0,1071,0,2750,0
Vermelho Novo,MG,2240,4,2240,4,4032,12,1800,3000,88704,192
Viçosa,MG,825,0,825,0,1089,0,1320,0,23305,0
Vieiras,MG,650,0,650,0,936,0,1440,0,16848,0
Virgínia,MG,50,0,50,0,83,0,1660,0,1743,0
Virginópolis,MG,80,0,80,0,106,0,1325,0,2117,0
Virgolândia,MG,10,12,10,12,9,12,900,1000,174,221
Visconde do Rio Branco,MG,3,0,3,0,4,0,1333,0,82,0
Afonso Cláudio,ES,7370,4325,7370,4325,11606,12233,1575,2828,224164,254055
Águia Branca,ES,30,6240,30,6240,27,15350,900,2460,504,307000
Água Doce do Norte,ES,400,1805,400,1805,300,3342,750,1852,6724,74309
Alegre,ES,3210,2015,3210,2015,4825,3645,1503,1809,91955,80168
Alfredo Chaves,ES,2382,2250,2382,2250,4383,4315,1840,1918,84528,87746
Alto Rio Novo,ES,1612,1386,1612,1386,2031,3925,1260,2832,38183,78500
Anchieta,ES,0,1070,0,1070,0,2029,0,1896,0,34087
Apiacá,ES,1350,420,1350,420,2867,1150,2124,2738,54811,22724
Aracruz,ES,0,5350,0,5350,0,15964,0,2984,0,276311
Atílio Vivácqua,ES,0,1330,0,1330,0,3461,0,2602,0,57906
Baixo Guandu,ES,1340,2150,1340,2150,1147,5106,856,2375,21646,106205
Barra de São Francisco,ES,25,5080,25,5080,23,12090,920,2380,527,241800
Boa Esperança,ES,0,5300,0,5300,0,11130,0,2100,0,206755
Bom Jesus do Norte,ES,80,94,80,94,120,158,1500,1681,2520,3394
Brejetuba,ES,18000,0,18000,0,32400,0,1800,0,632748,0
Cachoeiro de Itapemirim,ES,170,5700,170,5700,163,8244,959,1446,3295,159224
Cariacica,ES,30,293,30,293,41,616,1367,2102,687,10315
Castelo,ES,3690,7837,3690,7837,4649,15801,1260,2016,87941,273136
Colatina,ES,110,11000,110,11000,132,28395,1200,2581,2438,518209
Conceição da Barra,ES,0,1121,0,1121,0,2596,0,2316,0,44385
Conceição do Castelo,ES,2300,1788,2300,1788,4140,4232,1800,2367,83251,79266
Divino de São Lourenço,ES,2100,0,2100,0,4285,0,2040,0,90556,0
Domingos Martins,ES,5978,46,5978,46,8612,86,1441,1870,144216,1365
Dores do Rio Preto,ES,3200,0,3200,0,5184,0,1620,0,108397,0
Ecoporanga,ES,160,2490,160,2490,163,5118,1019,2055,3158,95342
Fundão,ES,0,2482,0,2482,0,8761,0,3530,0,166047
Governador Lindenberg,ES,0,9200,0,9200,0,20976,0,2280,0,340860
Guaçuí,ES,6450,0,6450,0,9675,0,1500,0,192180,0
Guarapari,ES,650,1450,650,1450,707,1776,1088,1225,13200,36515
Ibatiba,ES,8200,0,8200,0,13780,0,1680,0,271670,0
Ibiraçu,ES,0,1866,0,1866,0,3451,0,1849,0,68374
Ibitirama,ES,5500,1,5500,1,9570,2,1740,2000,182937,45
Iconha,ES,161,4090,161,4090,227,6103,1410,1492,4869,108328
Irupi,ES,9800,7,9800,7,17640,21,1800,3000,347491,472
Itaguaçu,ES,1300,5585,1300,5585,1755,9205,1350,1648,30215,167632
Itapemirim,ES,0,607,0,607,0,540,0,890,0,11159
Itarana,ES,2120,1100,2120,1100,4290,2448,2024,2225,79521,48013
Iúna,ES,16000,40,16000,40,25920,108,1620,2700,511466,2052
Jaguaré,ES,0,13337,0,13337,0,28008,0,2100,0,531880
Jerônimo Monteiro,ES,150,2850,150,2850,225,4788,1500,1680,4543,99644
João Neiva,ES,30,1259,30,1259,36,2928,1200,2326,675,52842
Laranja da Terra,ES,40,2700,40,2700,60,7290,1500,2700,1305,128534
Linhares,ES,0,17400,0,17400,0,46460,0,2670,0,834793
Mantenópolis,ES,4070,652,4070,652,4884,1505,1200,2308,83766,28888
Marechal Floriano,ES,2200,0,2200,0,3960,0,1800,0,87504,0
Marilândia,ES,0,8600,0,8600,0,18576,0,2160,0,414947
Mimoso do Sul,ES,3682,4240,3582,4190,9306,9778,2598,2334,187337,185124
Montanha,ES,0,3500,0,3500,0,8400,0,2400,0,144220
Mucurici,ES,0,90,0,90,0,324,0,3600,0,6404
Muniz Freire,ES,9200,1605,9200,1605,12700,5910,1380,3682,270767,133181
Muqui,ES,450,3967,450,3967,410,8230,911,2075,8165,158021
Nova Venécia,ES,0,12200,0,12200,0,27816,0,2280,0,522937
Pancas,ES,0,12120,0,12120,0,25946,0,2141,0,539190
Pedro Canário,ES,0,1220,0,1220,0,2928,0,2400,0,60990
Pinheiros,ES,0,9700,0,9700,0,20154,0,2078,0,397169
Piúma,ES,0,276,0,276,0,733,0,2656,0,15606
Ponto Belo,ES,0,360,0,360,0,864,0,2400,0,16702
Presidente Kennedy,ES,0,106,0,106,0,159,0,1500,0,3403
Rio Bananal,ES,0,19100,0,19100,0,48093,0,2518,0,858496
Rio Novo do Sul,ES,20,2570,20,2570,29,3546,1450,1380,561,66718
Santa Leopoldina,ES,880,3800,880,3800,1108,12077,1259,3178,19961,211582
Santa Maria de Jetibá,ES,2520,80,2520,80,4233,240,1680,3000,84889,4628
Santa Teresa,ES,3605,5790,3605,5790,5293,15808,1468,2730,100114,293040
São Domingos do Norte,ES,0,5560,0,5560,0,13900,0,2500,0,289583
São Gabriel da Palha,ES,0,8381,0,8381,0,19109,0,2280,0,395445
São José do Calçado,ES,1113,218,1113,218,1669,473,1500,2170,32855,9113
São Mateus,ES,0,12800,0,12800,0,26880,0,2100,0,528448
São Roque do Canaã,ES,500,3050,500,3050,900,10248,1800,3360,16426,201986
Serra,ES,0,585,0,585,0,1672,0,2858,0,30491
Sooretama,ES,0,10000,0,10000,0,21600,0,2160,0,351000
Vargem Alta,ES,2850,2600,2850,2600,3762,6300,1320,2423,71722,106911
Venda Nova do Imigrante,ES,3000,0,3000,0,5400,0,1800,0,107321,0
Viana,ES,10,255,10,255,12,459,1200,1800,201,10530
Vila Pavão,ES,0,4100,0,4100,0,9225,0,2250,0,180502
Vila Valério,ES,0,15000,0,15000,0,34200,0,2280,0,569772
Barra do Piraí,RJ,5,0,5,0,6,0,1200,0,120,0
Barra Mansa,RJ,2,0,2,0,1,0,500,0,15,0
Bom Jardim,RJ,1140,0,1140,0,2280,0,2000,0,41724,0
Bom Jesus do Itabapoana,RJ,768,4,768,4,1152,14,1500,3500,22010,275
Cardoso Moreira,RJ,0,5,0,5,0,2,0,400,0,28
Conceição de Macabu,RJ,5,0,5,0,10,0,2000,0,360,0
Duas Barras,RJ,305,0,305,0,641,0,2102,0,9117,0
Itaperuna,RJ,0,15,0,15,0,32,0,2133,0,541
Natividade,RJ,28,3,28,3,42,11,1500,3667,840,220
Petrópolis,RJ,16,0,16,0,12,0,750,0,705,0
Porciúncula,RJ,3900,0,3900,0,6853,0,1757,0,149909,0
Rio Claro,RJ,2,0,2,0,1,0,500,0,13,0
São José de Ubá,RJ,0,4,0,4,0,8,0,2000,0,120
São José do Vale do Rio Preto,RJ,280,0,280,0,630,0,2250,0,12783,0
Trajano de Moraes,RJ,24,0,24,0,48,0,2000,0,740,0
Três Rios,RJ,11,0,11,0,3,0,273,0,292,0
Valença,RJ,8,0,8,0,6,0,750,0,145,0
Varre-Sai,RJ,5000,0,5000,0,7265,0,1453,0,143091,0
Adamantina,SP,500,0,500,0,550,0,1100,0,7425,0
Aguaí,SP,430,0,430,0,800,0,1860,0,20800,0
Águas da Prata,SP,780,0,780,0,1404,0,1800,0,38329,0
Águas de Lindóia,SP,350,0,350,0,420,0,1200,0,7560,0
Águas de Santa Bárbara,SP,44,0,44,0,51,0,1159,0,434,0
Altinópolis,SP,10000,0,10000,0,21000,0,2100,0,420833,0
Alto Alegre,SP,38,0,38,0,18,0,474,0,410,0
Álvaro de Carvalho,SP,750,0,750,0,850,0,1133,0,15725,0
Alvinlândia,SP,860,0,860,0,1550,0,1802,0,28675,0
Américo de Campos,SP,25,0,25,0,15,0,600,0,169,0
Amparo,SP,1036,0,1036,0,1831,0,1767,0,32958,0
Analândia,SP,236,0,236,0,371,0,1572,0,8730,0
Angatuba,SP,23,0,23,0,29,0,1261,0,653,0
Anhumas,SP,108,0,108,0,122,0,1130,0,1278,0
Araçatuba,SP,37,0,37,0,34,0,919,0,442,0
Araçoiaba da Serra,SP,4,0,4,0,8,0,2000,0,80,0
Arandu,SP,1000,0,1000,0,1800,0,1800,0,40500,0
Araraquara,SP,140,0,140,0,588,0,4200,0,13524,0
Araras,SP,218,0,218,0,325,0,1491,0,8450,0
Arco-Íris,SP,6,0,6,0,4,0,667,0,96,0
Areiópolis,SP,72,0,72,0,90,0,1250,0,1440,0
Assis,SP,4,0,4,0,5,0,1250,0,93,0
Atibaia,SP,1,0,1,0,1,0,1000,0,18,0
Avaí,SP,40,0,40,0,48,0,1200,0,1074,0
Avaré,SP,100,0,100,0,90,0,900,0,2025,0
Balbinos,SP,16,0,16,0,14,0,875,0,280,0
Bálsamo,SP,40,0,40,0,19,0,475,0,456,0
Bariri,SP,82,0,82,0,132,0,1610,0,2970,0
Barra do Turvo,SP,3,0,3,0,3,0,1000,0,48,0
Batatais,SP,3000,0,3000,0,4320,0,1440,0,86571,0
Bernardino de Campos,SP,50,0,50,0,60,0,1200,0,1350,0
Bilac,SP,176,0,176,0,170,0,966,0,1275,0
Birigui,SP,30,0,30,0,27,0,900,0,203,0
Boa Esperança do Sul,SP,1,0,1,0,2,0,2000,0,46,0
Bocaina,SP,32,0,32,0,48,0,1500,0,1075,0
Bofete,SP,42,0,42,0,43,0,1024,0,688,0
Boituva,SP,35,0,35,0,52,0,1486,0,475,0
Boracéia,SP,40,0,40,0,54,0,1350,0,1210,0
Borborema,SP,27,0,27,0,54,0,2000,0,1080,0
Botucatu,SP,460,0,460,0,605,0,1315,0,9680,0
Bragança Paulista,SP,300,0,300,0,450,0,1500,0,8100,0
Braúna,SP,47,0,47,0,28,0,596,0,637,0
Brodowski,SP,1100,0,950,0,1870,0,1968,0,46325,0
Brotas,SP,518,0,518,0,829,0,1600,0,18570,0
Buritizal,SP,458,0,458,0,1156,0,2524,0,26180,0
Cabrália Paulista,SP,70,0,70,0,84,0,1200,0,1635,0
Cabreúva,SP,13,0,13,0,16,0,1231,0,136,0
